Time,demand0
00:00,0.25
00:30,0.25
01:00,0.25
01:30,0.25
02:00,0.25
02:30,0.25
03:00,0.25
03:30,0.25
04:00,0.25
04:30,0.25
05:00,0.25
05:30,0.25
06:00,0.25
06:30,0.25
07:00,0.25
07:30,0.5
08:00,1
08:30,2
09:00,0.5
09:30,0.4
10:00,0.4
10:30,0.4
11:00,0.4
11:30,0.4
12:00,0.4
12:30,0.4
13:00,0.4
13:30,0.4
14:00,0.4
14:30,0.4
15:00,0.4
15:30,0.4
16:00,0.4
16:30,0.5
17:00,1
17:30,1
18:00,2
18:30,1
19:00,1
19:30,1
20:00,0.5
20:30,0.5
21:00,0.4
21:30,0.4
22:00,0.4
22:30,0.4
23:00,0.4
23:30,0.25
