halfHour,demand0
145,0.417783394
146,0.343981761
147,0.392338999
148,0.364983223
149,0.391968047
150,0.35525637
151,0.361491588
152,0.315081449
153,0.258362587
154,0.255247382
155,0.289077552
156,0.25256694
157,0.266625443
158,0.315908786
159,0.330463982
160,0.659762146
161,0.662401266
162,0.506617893
163,0.526052062
164,0.781593086
165,0.838597549
166,0.726956238
167,1.092250527
168,1.109105559
169,1.286353918
170,1.421562169
171,1.383455736
172,0.996105494
173,1.101206709
174,0.607957138
175,0.778456267
176,0.785792045
177,0.81726087
178,1.12304797
179,1.313148621
180,1.360005951
181,1.167988925
182,1.044863528
183,0.947576308
184,0.807906777
185,0.901148503
186,1.023103615
187,0.756804399
188,0.801412726
189,0.860860589
190,0.671702928
191,0.683414193
192,0.561514566
193,0.506917017
194,0.354601928
195,0.325034912
196,0.332478459
197,0.302519133
198,0.264792761
199,0.329370736
200,0.287923593
201,0.292967117
202,0.259105153
203,0.282239474
204,0.323366584
205,0.31744456
206,0.30323368
207,0.503282411
208,0.749730055
209,0.587690152
210,0.500177856
211,0.537141188
212,0.60011751
213,0.697677173
214,0.562320669
215,0.694083373
216,0.560161051
217,0.887391296
218,1.038829947
219,0.824380244
220,0.730290855
221,0.934271973
222,0.465544552
223,0.484420097
224,0.971567376
225,0.809794136
226,1.057408278
227,1.215910929
228,1.517033341
229,1.362862752
230,0.787741794
231,0.850376402
232,1.024975706
233,0.725201503
234,0.920078141
235,0.970450544
236,0.810973442
237,0.67817061
238,0.727424177
239,0.627251076
240,0.504261608
241,0.460881723
242,0.428733113
243,0.376718767
244,0.395458678
245,0.396368496
246,0.305938068
247,0.330775674
248,0.348553108
249,0.314201434
250,0.308121824
251,0.278573384
252,0.272517153
253,0.353879762
254,0.312763557
255,0.374637332
256,0.730402763
257,0.660733659
258,0.664135922
259,0.586613325
260,0.539556798
261,0.615266735
262,0.611786989
263,0.539556649
264,0.848474881
265,1.084407123
266,0.550365823
267,0.697252144
268,0.774730207
269,0.693062486
270,0.724062957
271,0.784941268
272,0.904468493
273,0.838414043
274,0.993791559
275,1.386301292
276,1.217561281
277,1.387484257
278,0.859813228
279,0.966387182
280,1.047506947
281,1.083341905
282,0.866928217
283,1.0507189
284,0.799113554
285,0.797953317
286,0.705033856
287,0.635521675
288,0.603726092
289,0.505907295
290,0.407253164
291,0.348639814
292,0.326320366
293,0.311882964
294,0.332192599
295,0.289453926
296,0.285297483
297,0.290539117
298,0.292948896
299,0.295937703
300,0.267487182
301,0.311451257
302,0.382421412
303,0.512145475
304,0.627954777
305,0.633545484
306,0.569667233
307,0.509239649
308,0.544063239
309,0.544803902
310,0.656536522
311,0.627419064
312,0.724368376
313,0.54179469
314,0.859190608
315,0.817894166
316,0.700440325
317,0.848952326
318,0.655044244
319,0.656086643
320,0.721735177
321,0.702789686
322,0.983574516
323,1.229395785
324,1.290921089
325,1.345388114
326,1.114638669
327,0.936282586
328,0.94862641
329,0.803418707
330,1.030462211
331,0.782107222
332,0.781206601
333,0.814852558
334,0.682486147
335,0.634507796
336,0.50237395
